hobby,user_desc,eng_name
"클라이밍","이 사용자는 신체 활동과 사회적 소속감, 모험심이 모두 높습니다. 경쟁심과 성장 욕구도 강하며 인정을 받고 싶어합니다. 디지털 도구 활용보다는 실제 활동에 집중합니다. 장시간 몰입이 가능하며 집중력도 좋은 편입니다. 트렌드에는 둔감하지만 즉흥적 활동을 선호합니다. 실질적 결과와 성취감을 중요하게 여깁니다. 이 사람의 취미는 클라이밍 입니다.",Climbing
"요가","이 사용자는 신체 활동과 사회적 소속감, 경쟁심이 모두 높은 편입니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 보통이지만 몰입이 가능합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 내면의 평화와 균형을 중요하게 생각합니다. 이 사람의 취미는 요가 입니다.",Yoga
"뮤지컬","이 사용자는 신체 활동과 사회적 소속감, 모험심, 창의성, 경쟁심 등은 모두 평균 수준입니다. 스트레스 해소와 성장, 인정을 크게 중시하지 않습니다. 디지털 도구 활용에는 소극적이며 트렌드에도 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 좋아하지 않습니다. 예술적 감각을 중요하게 생각합니다. 이 사람의 취미는 뮤지컬 입니다.",Musical
"야구관람","이 사용자는 신체 활동과 사회적 소속감은 보통이며 모험심은 낮은 편입니다. 경쟁심과 스트레스 해소, 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동은 선호하지 않습니다. 스포츠를 관람하며 즐거움을 찾습니다. 이 사람의 취미는 야구관람 입니다.",Watching Baseball
"헬스","이 사용자는 신체 활동은 보통이고 사회적 소속감이 높으며 성장과 인정을 중시합니다. 디지털 도구와 트렌드에 민감하고 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 스트레스 해소와 자기계발에 관심이 많습니다. 경쟁심은 보통이고 꾸준함을 중요시합니다. 이 사람의 취미는 헬스 입니다.",Fitness
"수영","이 사용자는 신체 활동과 사회적 소속감, 모험, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 관심이 낮고 트렌드에도 둔감합니다. 몰입보다는 다양한 활동을 즐깁니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 꾸준함과 자기계발을 중요시합니다. 이 사람의 취미는 수영 입니다.",Swimming
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮고 모험심이 강합니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"운동","이 사용자는 신체 활동을 즐기며 사회적 소속감을 중요하게 생각합니다. 모험에는 소극적이지만 스트레스 해소와 인정 욕구가 있습니다. 집중력이 좋고 실질적인 결과를 선호합니다. 즉흥적인 활동을 좋아하고 트렌드에는 둔감한 편입니다. 경쟁심은 보통이며 성장보다는 현재의 성취에 더 관심이 있습니다. 디지털 도구 활용에 능숙하며 몰입형 활동보다는 활동적인 취미를 선호합니다. 이 사람의 취미는 운동 입니다.",Exercise
"러닝","이 사용자는 신체 활동과 사회적 소속감, 모험, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 관심이 낮고 트렌드에도 둔감합니다. 몰입보다는 다양한 활동을 즐깁니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 꾸준함과 자기계발을 중요시합니다. 이 사람의 취미는 러닝 입니다.",Running
"게임","이 사용자는 신체 활동과 사회적 소속감, 경쟁심이 모두 강한 편입니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"요가","이 사용자는 신체 활동과 사회적 소속감, 경쟁심이 모두 높은 편입니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 보통이지만 몰입이 가능합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 내면의 평화와 균형을 중요하게 생각합니다. 이 사람의 취미는 요가 입니다.",Yoga
"걷기","이 사용자는 신체 활동을 선호하지 않으며 사회적 소속감에 대한 욕구가 보통입니다. 모험과 경쟁에는 관심이 적고 스트레스 해소가 중요한 동기입니다. 디지털 도구 활용에 흥미가 있으며 즉흥적인 활동을 선호합니다. 집중력과 트렌드 감각은 낮은 편입니다. 성장이나 인정보다는 편안함과 휴식을 중시합니다. 몰입보다는 가벼운 여가를 선호합니다. 이 사람의 취미는 걷기 입니다.",Walking
"드럼","이 사용자는 신체 활동과 사회적 소속감이 높으며 모험과 경쟁심도 강합니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 소극적이고 트렌드에도 둔감합니다. 몰입보다는 다양한 활동을 즐깁니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 리듬감과 음악적 표현에 관심이 많습니다. 이 사람의 취미는 드럼 입니다.",Drums
"등산","이 사용자는 신체 활동과 사회적 소속감, 모험심, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 보통이며 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 자연 속에서의 활동을 즐깁니다. 이 사람의 취미는 등산 입니다.",Mountain Climbing
"골프","이 사용자는 신체 활동과 사회적 소속감, 모험심, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드에 민감하며 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 꾸준함과 자기계발을 중요시합니다. 이 사람의 취미는 골프 입니다.",Golf
"팟캐스트보기","이 사용자는 신체 활동은 낮지만 창의성과 경쟁심, 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드에 민감하며 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 다양한 정보를 얻고 자기계발에 관심이 많습니다. 몰입과 학습을 동시에 추구합니다. 이 사람의 취미는 팟캐스트보기 입니다.",Listening to Podcast
"노래하기","이 사용자는 신체 활동은 낮지만 사회적 소속감과 창의성, 성장, 인정을 중시합니다. 디지털 도구 활용에는 보통이며 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 예술적 감각과 표현력을 중요하게 생각합니다. 자기표현과 감정 해소에 관심이 많습니다. 이 사람의 취미는 노래하기 입니다.",Singing
"헬스","이 사용자는 신체 활동은 보통이고 사회적 소속감이 높으며 성장과 인정을 중시합니다. 디지털 도구와 트렌드에 민감하고 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 스트레스 해소와 자기계발에 관심이 많습니다. 경쟁심은 보통이고 꾸준함을 중요시합니다. 이 사람의 취미는 헬스 입니다.",Fitness
"음악작업","이 사용자는 신체 활동은 낮지만 사회적 소속감과 창의성, 성장, 인정을 중시합니다. 디지털 도구 활용과 몰입에 능숙합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 예술적 감각과 창의적 표현을 중요시합니다. 결과물 제작과 자기만의 시간을 중시합니다. 이 사람의 취미는 음악작업 입니다.",Music Production
"독서","이 사용자는 신체 활동보다는 창의성과 성장, 인정을 중시합니다. 디지털 도구 활용은 낮지만 몰입에 능숙합니다. 트렌드에는 둔감하며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 지식 습득과 내면의 성장을 중요하게 생각합니다. 조용한 환경에서의 몰입을 선호합니다. 이 사람의 취미는 독서 입니다.",Reading
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮고 모험심이 강합니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮고 모험심이 강합니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"등산","이 사용자는 신체 활동과 사회적 소속감, 모험심, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 보통이며 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 자연 속에서의 활동을 즐깁니다. 이 사람의 취미는 등산 입니다.",Mountain Climbing
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮고 모험심이 강합니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"게임","이 사용자는 신체 활동과 사회적 소속감이 낮고 모험심이 강합니다. 스트레스 해소와 몰입, 실질적 결과를 중시합니다. 트렌드에도 민감하고 디지털 도구 사용을 좋아합니다. 장시간 몰입하는 활동을 선호하며 인정을 필요로 합니다. 집중력은 다소 낮은 편이나 즉흥적인 활동을 좋아합니다. 성장보다는 현재의 재미와 성취에 더 집중합니다. 이 사람의 취미는 게임 입니다.",Game
"기타연주","이 사용자는 신체 활동과 사회적 소속감이 높고 창의성과 경쟁심, 성장, 인정을 중시합니다. 디지털 도구 활용과 몰입에 능숙합니다. 트렌드에는 민감하지 않으며 즉흥적 활동은 선호하지 않습니다. 집중력은 보통이고 자기계발에 관심이 많습니다. 예술적 감각과 창의적 표현을 중요시합니다. 결과물 제작과 자기만의 시간을 중시합니다. 이 사람의 취미는 기타연주 입니다.",Playing Guitar
"근력운동","이 사용자는 신체 활동과 사회적 소속감이 보통이며 성장과 인정을 중시합니다. 디지털 도구와 트렌드에 민감하고 집중력도 좋은 편입니다. 실질적 결과와 장시간 몰입을 선호합니다. 즉흥적 활동보다는 계획적인 활동에 더 끌립니다. 스트레스 해소와 자기계발에 관심이 많습니다. 경쟁심은 보통이고 꾸준함을 중요시합니다. 이 사람의 취미는 근력운동 입니다.",Strength Training
"영화","이 사용자는 신체 활동과 사회적 소속감, 모험, 창의성, 경쟁심이 모두 높습니다. 스트레스 해소와 성장, 인정을 중시합니다. 디지털 도구 활용에는 관심이 낮고 트렌드에도 둔감합니다. 몰입보다는 다양한 활동을 즐깁니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 꾸준함과 자기계발을 중요시합니다. 이 사람의 취미는 영화 입니다.",Movie
"비즈","이 사용자는 신체 활동은 낮지만 사회적 소속감과 경쟁심, 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 창의적 활동과 결과물을 중요시합니다. 자기만의 시간을 중시합니다. 이 사람의 취미는 비즈 입니다.",Beads
"퍼즐","이 사용자는 신체 활동은 낮지만 사회적 소속감과 성장, 인정을 중시합니다. 디지털 도구 활용과 트렌드에는 둔감합니다. 몰입보다는 다양한 경험을 선호합니다. 집중력은 보통이고 즉흥적 활동을 선호하지 않습니다. 논리적 사고와 문제 해결을 즐깁니다. 조용한 환경에서의 집중을 선호합니다. 이 사람의 취미는 퍼즐 입니다.",Puzzle
