name,eng_name,description,Active,Physical,RequiresFocus,Indoor,Outdoor,RequiresTravel,Solo,Group,SocialInteraction,Creative,Intellectual,Emotional,Analytical,StressRelief,CostRequired,EquipmentRequired,LearningRequired,TimeRequired,Challenging,Competitive,Rewarding,Trendy,RequiresConsistency,ManualSkill,InNature,DetailedDescription,Equipment
낚시,Fishing,"물고기를 잡으며 자연과 교감하는 정적인 활동으로, 인내심과 집중력이 필요하며 평온한 시간 속에서 스트레스를 해소하고 성취감을 느낄 수 있는 취미",-1,-1,1,-1,1,0,2,0,-1,-1,0,0,0,2,-1,0,0,1,2,-2,0,0,2,-1,2,"낚시는 물고기를 잡으며 자연과 교감하는 정적이고 명상적인 활동입니다.\n민물낚시와 바다낚시로 나뉘며, 각각 다른 장비와 기법이 필요하고 잡을 수 있는 어종도 다릅니다.\n미끼 선택, 포인트 찾기, 날씨와 조류 파악 등 다양한 지식과 경험이 필요한 깊이 있는 취미입니다.\n인내심과 집중력을 기르며, 물고기가 걸렸을 때의 손맛과 성취감은 낚시만의 특별한 매력입니다.\n혼자만의 조용한 시간을 통해 일상의 스트레스를 해소하고 마음의 평안을 찾을 수 있습니다.\n\n여유로움을 추구하고 자연을 사랑하는 사람에게 잘 맞는 취미입니다.\n1. 조용하고 평온한 환경에서의 명상적 경험\n2. 인내심과 집중력 향상에 도움\n3. 자연 속에서의 완전한 휴식과 스트레스 해소\n4. 계절과 장소에 따른 다양한 어종 경험\n5. 낚은 물고기로 요리하는 즐거움\n6. 낚시 동호회를 통한 정보 교류와 인맥 형성","낚싯대(장르별 선택)|릴(스피닝/베이트캐스팅)|낚싯줄|바늘|미끼(지렁이, 크릴 등)|밑밥|낚시의자|아이스박스|랜턴|낚시가방|플라이어(바늘 제거용)|낚시모|선글라스|자외선차단제|물|도시락|핫팩|우비|낚시 면허(해당시)|타올"
패러글라이딩,Paragliding,"낙하산을 이용해 하늘을 나는 익스트림 스포츠로, 바람의 흐름을 읽는 기술과 용기가 필요하며 하늘에서 내려다보는 경치와 함께 극한의 자유로움을 경험하는 취미",1,0,2,-2,2,2,2,-1,-1,-1,1,1,1,1,2,2,2,0,2,-2,2,-1,-1,-1,2,"패러글라이딩은 낙하산 형태의 글라이더를 이용해 산이나 언덕에서 이륙하여 하늘을 활공하는 스포츠입니다. 이륙 전, 장비 점검과 안전 교육이 필수이며, 바람의 방향과 세기를 읽는 능력이 매우 중요합니다. 초보자는 전문 강사와 함께 체험 비행을 통해 안전하게 시작할 수 있습니다. 하늘 위에서 바라보는 경치와 자유로움은 일상에서 느끼기 힘든 짜릿함을 선사합니다.\n모험을 즐기고 새로운 시각에서 세상을 바라보고 싶은 사람에게 잘 맞는 취미에요!\n1. 높은 고도와 속도에서 느끼는 극한의 해방감\n2. 바람과 기상 조건에 따라 매번 다른 경험\n3. 심리적 용기와 순간 판단력 요구\n4. 전문 장비와 안전 교육 필수\n5. 국내외 유명 패러글라이딩 명소 여행 가능\n6. 체험비용이 있으나, 장비 구입 시 장기적으로 경제적","패러글라이더(글라이더, 하네스 포함)|헬멧|보조 낙하산|장갑|고글|방풍 재킷|튼튼한 운동화|무전기(필요 시)|GPS(선택사항)|선크림|응급처치용품|물병|샤워용품"
요가,Yoga,"몸과 마음의 균형을 찾는 수련으로, 유연성과 집중력을 기르며 호흡과 자세를 통해 내면의 평화와 신체의 건강을 동시에 추구하는 취미",0,0,1,1,-1,-2,2,0,-1,-1,-1,1,-1,2,-1,-1,0,0,0,-2,1,0,2,-1,-1,"요가는 호흡과 명상, 다양한 자세(아사나)를 통해 몸과 마음의 균형을 찾는 수련입니다. 꾸준히 하면 유연성, 근력, 집중력, 스트레스 해소에 탁월한 효과가 있습니다. 초보자는 요가 강사의 지도를 받으며 기초 자세와 호흡법을 익히는 것이 좋습니다.\n내면의 평화와 건강한 라이프스타일을 추구하는 사람에게 잘 맞는 취미에요!\n1. 신체 유연성 및 근력 향상\n2. 스트레스 해소와 심신 안정 효과\n3. 장소와 시간의 제약이 적음\n4. 다양한 요가 스타일 선택 가능\n5. 꾸준한 수련이 중요\n6. 명상과 호흡법을 통한 자기관리 가능",요가매트|편안한 요가복|요가 블록(선택사항)|요가 스트랩(선택사항)|물병|타월|헤어밴드|아로마 오일(선택사항)
필라테스,Pilates,"코어 근육을 중심으로 한 운동법으로, 정확한 자세와 호흡이 중요하며 근력과 유연성을 동시에 기르면서 몸의 균형을 맞춰가는 취미",1,1,1,1,-2,-2,1,0,-1,-1,0,0,0,1,0,0,0,0,0,-2,1,0,2,-1,-2,"필라테스는 코어 근육을 강화하고 자세 교정, 유연성 향상에 효과적인 운동입니다. 기구 필라테스와 매트 필라테스로 나뉘며, 정확한 자세와 호흡법이 중요합니다. 꾸준히 하면 몸의 균형과 라인 개선에 큰 도움이 됩니다.\n체형 교정과 코어 근력 강화에 관심 있는 사람에게 잘 맞는 취미에요!\n1. 체형 개선 및 근력, 유연성 동시 향상\n2. 부상 예방과 재활 운동으로도 활용\n3. 정확한 자세와 호흡법이 중요\n4. 개인별 맞춤 운동 가능\n5. 전문 강사 지도 시 효과 극대화\n6. 실내 운동으로 계절 영향 적음","필라테스 매트|편안한 운동복|필라테스 링/폼롤러(선택사항)|소도구(밴드, 볼 등)|물병|타월|헤어밴드"
헬스,Fitness,"웨이트 트레이닝을 통해 근력과 체력을 기르는 운동으로, 체계적인 운동 계획과 꾸준함이 필요하며 몸의 변화를 통해 자신감과 성취감을 얻는 취미",1,2,0,2,-2,-2,2,-1,-1,-1,-1,0,0,1,0,0,0,0,1,0,1,1,2,-2,-2,"헬스는 웨이트 트레이닝과 유산소 운동을 통해 근력, 체력, 몸매 개선을 목표로 하는 운동입니다. 체계적인 운동 계획과 꾸준함이 중요하며, 목표에 따라 다양한 운동법을 선택할 수 있습니다.\n자기관리와 신체 변화에 도전하고 싶은 사람에게 잘 맞는 취미에요!\n1. 근력 및 체력 향상, 몸매 개선\n2. 목표 설정과 성취감 경험\n3. 다양한 운동 기구 활용 가능\n4. 운동 루틴 맞춤 설계\n5. 꾸준함과 자기관리 필수\n6. 실내 운동으로 날씨 영향 적음",운동복|운동화|물병|장갑(선택사항)|타월|헬스장 이용권|운동 노트/앱|보충제(선택사항)|샤워용품
크로스핏,CrossFit,"다양한 기능성 운동을 고강도로 수행하는 피트니스 프로그램으로, 전신 근력과 심폐지구력을 동시에 기르며 한계를 극복하는 성취감을 경험하는 취미",2,2,1,1,-2,-2,0,1,0,0,-1,0,0,1,0,0,1,0,2,1,1,1,2,-1,-2,"크로스핏은 중량 운동, 유산소, 체중 운동 등 다양한 기능성 운동을 고강도로 반복하는 피트니스 프로그램입니다. 전신 근력과 심폐지구력을 동시에 기를 수 있으며, 그룹 운동의 동기부여 효과도 큽니다.\n한계에 도전하고 팀원과 함께 성장하고 싶은 사람에게 잘 맞는 취미에요!\n1. 전신 근력, 지구력, 민첩성 동시 향상\n2. 매일 다른 WOD(Workout of the Day)로 지루함 없음\n3. 팀원과의 유대감, 동기부여\n4. 고강도 운동으로 체력 소모 큼\n5. 전문 코치 지도 아래 안전하게 진행\n6. 기록 관리와 성취감 경험",운동복|운동화|물병|손목 보호대(선택사항)|장갑(선택사항)|타월|크로스핏 박스 이용권|보호대(선택사항)|샤워용품
홈 피트니스,Home Fitness,"집에서 할 수 있는 운동으로, 시간과 장소의 제약 없이 체력을 기르고 건강을 관리할 수 있으며 개인의 페이스에 맞춰 꾸준히 할 수 있는 취미",1,1,0,2,-2,-2,2,-2,-2,-1,-1,0,-1,1,-2,-1,-1,-1,0,-1,0,1,2,-2,-2,"홈 피트니스는 집에서 간단한 운동기구 또는 맨몸 운동으로 체력과 건강을 관리할 수 있는 운동입니다. 시간과 장소의 제약이 없고, 개인의 페이스에 맞춰 꾸준히 할 수 있습니다.\n자기주도적으로 건강을 관리하고 싶은 사람에게 잘 맞는 취미에요!\n1. 시간, 장소 제약 없이 운동 가능\n2. 경제적이고 효율적인 건강관리\n3. 다양한 운동 영상과 앱 활용\n4. 자기주도적 계획과 실천 필요\n5. 운동 루틴 맞춤 설계\n6. 가족과 함께 할 수도 있음",운동복|운동화|요가매트|덤벨/밴드(선택사항)|폼롤러(선택사항)|물병|타월|운동 앱/영상|샤워용품
헤어메이크업,Hair Makeup,"헤어스타일링과 메이크업 기술을 익히는 미용 분야로, 창의성과 섬세함이 필요하며 자신만의 스타일을 만들어가는 예술적 취미",-1,-2,1,1,-2,-2,1,-1,-1,2,-1,0,-1,0,0,0,0,0,-1,-2,0,1,0,1,-2,"헤어/메이크업은 다양한 스타일링과 메이크업 기술을 익히며 자신만의 개성을 표현하는 미용 취미입니다. 트렌드를 반영하거나 창의적으로 스타일을 연출할 수 있으며, 꾸준한 연습과 정보 탐색이 중요합니다.\n자신만의 스타일을 만들고 외모에 자신감을 얻고 싶은 사람에게 잘 맞는 취미에요!\n1. 창의성과 섬세함을 동시에 기를 수 있음\n2. 다양한 뷰티 트렌드 경험\n3. 자기표현과 자기관리 효과\n4. 꾸준한 연습과 정보 탐색 필요\n5. 뷰티 커뮤니티 활동 가능\n6. 소규모 투자로 시작 가능","헤어 브러시|고데기/드라이기|헤어 제품(왁스, 스프레이 등)|메이크업 브러시|메이크업 제품(파운데이션, 립 등)|거울|화장솜/클렌징 제품|핀셋/아이래쉬 컬러|파우치"
스파 마사지,Spa Massage,"몸의 피로를 풀고 마음의 안정을 찾는 힐링 활동으로, 전문적인 케어를 통해 스트레스를 해소하고 몸과 마음의 건강을 동시에 관리하는 취미",-2,-2,-1,1,-2,-1,2,-2,-1,-2,-2,1,-2,2,1,-2,-2,-2,-2,-2,1,0,-1,-2,-2,"스파/마사지는 전문 마사지, 아로마 테라피, 족욕 등 다양한 방법으로 몸의 피로를 풀고 심신의 안정을 찾는 힐링 취미입니다. 전문 샵 이용 또는 홈케어 모두 가능하며, 꾸준히 하면 건강 유지와 스트레스 해소에 효과적입니다.\n피로 해소와 휴식을 중시하는 사람에게 잘 맞는 취미에요!\n1. 스트레스 해소와 심신 안정\n2. 전문 케어로 건강 관리\n3. 홈케어와 샵 이용 모두 가능\n4. 다양한 마사지 및 스파 프로그램\n5. 일상 속 힐링 타임 제공\n6. 비교적 간단하게 시작 가능",마사지 오일/크림|아로마 캔들/디퓨저|마사지 롤러/기기(선택사항)|타월|족욕기(선택사항)|편안한 옷|음악/조명(선택사항)|물병
피부관리,Skin Care,"피부 건강과 미용을 위한 케어 활동으로, 꾸준한 관리와 올바른 제품 사용이 중요하며 자신감 향상과 건강한 피부를 위한 투자하는 취미",-1,-2,0,1,-2,-2,2,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,-2,0,1,2,-1,-2,"피부관리는 클렌징, 보습, 자외선 차단 등 꾸준한 관리와 올바른 제품 선택을 통해 건강한 피부를 유지하는 미용 취미입니다. 피부 타입에 맞는 루틴을 찾는 것이 중요하며, 전문가의 상담을 받으면 더욱 효과적입니다.\n외모 관리와 자신감 향상에 관심 있는 사람에게 잘 맞는 취미에요!\n1. 꾸준한 관리로 피부 건강 유지\n2. 다양한 제품과 루틴 경험\n3. 전문가 상담 시 효과 극대화\n4. 계절과 피부 타입에 따라 맞춤 관리\n5. 비교적 적은 시간 투자로 효과\n6. 자기관리 습관 형성 가능",클렌저|토너|에센스/세럼|수분크림|자외선차단제|각질제거제(선택사항)|마스크팩|면봉/화장솜|수건
